Municipio,Total,Cafe,Cana,Milho,Soja,Soja_norm,Milho_norm,Cana_norm,Cafe_norm,DPF,Classificacao
Andradina (SP),45634,0.0,43332.0,300.0,1500.0,0.0025,0.0006,0.3611,0.0,0.07349499999999999,D - Baixo
Olímpia (SP),49250,5.0,43800.0,300.0,400.0,0.0006666666666666666,0.0006,0.365,0.00011674060238150829,0.07346167406023815,D - Baixo
Porto Nacional (TO),113314,0.0,50.0,34567.0,74701.0,0.12450166666666666,0.069134,0.0004166666666666667,0.0,0.07339258333333333,D - Baixo
Poxoréu (MT),125769,0.0,20.0,40000.0,70000.0,0.11666666666666667,0.08,0.00016666666666666666,0.0,0.07253333333333334,D - Baixo
Matupá (MT),118608,6.0,10.0,55000.0,60000.0,0.1,0.11,8.333333333333333e-05,0.00014008872285780995,0.07253067553895245,D - Baixo
Londrina (PR),138282,450.0,50.0,37000.0,70000.0,0.11666666666666667,0.074,0.0004166666666666667,0.010506654214335746,0.07213399875476692,D - Baixo
Jaciara (MT),120096,0.0,50.0,30000.0,75786.0,0.12631,0.06,0.0004166666666666667,0.0,0.07192283333333334,D - Baixo
Araguari (MG),82429,13175.0,16.0,25000.0,38000.0,0.06333333333333334,0.05,0.00013333333333333334,0.3076114872752743,0.07178781539419411,D - Baixo
Novo Horizonte (SP),49109,33.0,42500.0,400.0,800.0,0.0013333333333333333,0.0008,0.3541666666666667,0.0007704879757179547,0.07171038213090514,D - Baixo
São Luiz Gonzaga (RS),134819,0.0,35.0,14200.0,85500.0,0.1425,0.0284,0.0002916666666666667,0.0,0.07128333333333332,D - Baixo
Guarda-Mor (MG),125555,354.0,8.0,13000.0,85000.0,0.14166666666666666,0.026,6.666666666666667e-05,0.008265234648610786,0.07108985679819442,D - Baixo
Pedra Preta (MT),131212,0.0,100.0,40500.0,67536.0,0.11256,0.081,0.0008333333333333334,0.0,0.07106866666666665,D - Baixo
Bonito (MS),124196,0.0,15.0,40000.0,68000.0,0.11333333333333333,0.08,0.000125,0.0,0.07102499999999999,D - Baixo
Piracicaba (SP),47703,0.0,41200.0,2100.0,1600.0,0.0026666666666666666,0.0042,0.3433333333333333,0.0,0.07091666666666667,D - Baixo
Jaú (SP),45206,580.0,39700.0,240.0,4200.0,0.007,0.00048,0.3308333333333333,0.013541909876254962,0.07079085765429216,D - Baixo
Terra Roxa (PR),113105,40.0,80.0,54000.0,58000.0,0.09666666666666666,0.108,0.0006666666666666666,0.0009339248190520663,0.07072672581523853,D - Baixo
Rondon do Pará (PA),112139,0.0,0.0,31000.0,73500.0,0.1225,0.062,0.0,0.0,0.070625,D - Baixo
Araraquara (SP),44412,140.0,39000.0,700.0,4000.0,0.006666666666666667,0.0014,0.325,0.003268736866682232,0.06867687368666824,D - Baixo
Pimenteiras do Oeste (RO),114024,18.0,3.0,41205.0,64000.0,0.10666666666666667,0.08241,2.5e-05,0.0004202661685734298,0.06864952661685735,D - Baixo
Luziânia (GO),130781,0.0,0.0,35550.0,67550.0,0.11258333333333333,0.0711,0.0,0.0,0.0684375,D - Baixo
Bebedouro (SP),48979,0.0,39900.0,100.0,2500.0,0.004166666666666667,0.0002,0.3325,0.0,0.068425,D - Baixo
Linhares (ES),52782,17400.0,16574.0,310.0,0.0,0.0,0.00062,0.13811666666666667,0.40625729628764884,0.06840406296209822,D - Baixo
Guararapes (SP),48117,0.0,38000.0,0.0,6000.0,0.01,0.0,0.31666666666666665,0.0,0.06783333333333334,D - Baixo
Piracanjuba (GO),114668,0.0,30.0,13677.0,81000.0,0.135,0.027354,0.00025,0.0,0.0676385,D - Baixo
Martinópolis (SP),55296,0.0,37000.0,4800.0,4300.0,0.007166666666666667,0.0096,0.30833333333333335,0.0,0.06729166666666668,D - Baixo
Guiratinga (MT),106845,0.0,7.0,31200.0,68558.0,0.11426333333333333,0.0624,5.833333333333333e-05,0.0,0.06703016666666665,D - Baixo
